name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,price_level,price_numeric,years_since_award,decade,hemisphere,continent,has_url,name_length,name_word_count,distance_to_ny,city_restaurant_density,climate_zone,coastal_proximity
Nico,2019,37.795803,-122.40333,San Francisco,California,94101,Modern,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1,Expensive,3,6,2010,Northern,Americas,True,4,1,4126.9618839100585,55,Temperate,Coastal
jū-ni,2019,37.77672,-122.43886,San Francisco,California,94117,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,4130.622879918555,55,Temperate,Coastal
Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,California,94109,Fusion,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1,Very Expensive,4,6,2010,Northern,Americas,True,16,4,4127.982557768544,55,Temperate,Coastal
The Progress,2019,37.78371,-122.43282,San Francisco,California,94115,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1,Expensive,3,6,2010,Northern,Americas,True,12,2,4129.857377304638,55,Temperate,Coastal
State Bird Provisions,2019,37.783737,-122.43283,San Francisco,California,94115,American,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1,Moderate,2,6,2010,Northern,Americas,True,21,3,4129.8571716865135,55,Temperate,Coastal
Octavia,2019,37.787857,-122.42709,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1,Expensive,3,6,2010,Northern,Americas,True,7,1,4129.226120302617,55,Temperate,Coastal
SPQR,2019,37.78732,-122.43375,San Francisco,California,94115,Italian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1,Expensive,3,6,2010,Northern,Americas,True,4,1,4129.796303028209,55,Temperate,Coastal
Lord Stanley,2019,37.79592,-122.42208,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1,Expensive,3,6,2010,Northern,Americas,True,12,2,4128.504923882441,55,Temperate,Coastal
Kinjo,2019,37.79699,-122.422005,San Francisco,California,94109,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,4128.457912680328,55,Temperate,Coastal
Sorrel,2019,37.788334,-122.44614,San Francisco,California,94101,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1,Expensive,3,6,2010,Northern,Americas,True,6,1,4130.780181085832,55,Temperate,Coastal
Gary Danko,2019,37.80599,-122.42066,San Francisco,California,94109,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1,Very Expensive,4,6,2010,Northern,Americas,True,10,2,4128.00365889397,55,Temperate,Coastal
Bar Crenn,2019,37.798435,-122.43581,San Francisco,California,94101,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1,Expensive,3,6,2010,Northern,Americas,True,9,2,4129.542117566615,55,Temperate,Coastal
Spruce,2019,37.78772,-122.45264,San Francisco,California,94118,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1,Expensive,3,6,2010,Northern,Americas,True,6,1,4131.340084612047,55,Temperate,Coastal
Wako,2019,37.783035,-122.461525,San Francisco,California,94118,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1,Very Expensive,4,6,2010,Northern,Americas,True,4,1,4132.252314965835,55,Temperate,Coastal
Madcap,2019,37.974712,-122.56168,San Francisco,California,94960,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1,Very Expensive,4,6,2010,Northern,Americas,True,6,1,4133.2282977900995,55,Temperate,Coastal
Aubergine,2019,36.55406,-121.924355,Monterey,California,93921,Modern,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1,Very Expensive,4,6,2010,Northern,Americas,True,9,1,4136.253308800222,1,Temperate,Near Coastal
Kenzo,2019,38.29924,-122.28928,San Francisco,California,94559,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,4098.6607939274245,55,Temperate,Near Coastal
La Toque,2019,38.30351,-122.28349,San Francisco,California,94573,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1,Very Expensive,4,6,2010,Northern,Americas,True,8,2,4098.026529697571,55,Temperate,Near Coastal
Bouchon,2019,38.40258,-122.3619,San Francisco,California,94599,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1,Expensive,3,6,2010,Northern,Americas,True,7,1,4100.8288736896,55,Temperate,Near Coastal
Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,California,94573,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1,Very Expensive,4,6,2010,Northern,Americas,True,17,3,4101.124036689156,55,Temperate,Near Coastal
Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,California,95436,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1,Very Expensive,4,6,2010,Northern,Americas,True,26,4,4140.469097846972,55,Temperate,Near Coastal
The Kitchen,2019,38.58894,-121.41424,Sacramento,California,95825,Modern,$$$$,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1,Very Expensive,4,6,2010,Northern,Americas,True,11,2,4016.1091877406216,1,Temperate,Near Coastal
Madrona Manor,2019,38.60428,-122.88647,San Francisco,California,95448,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1,Very Expensive,4,6,2010,Northern,Americas,True,13,2,4136.536094936458,55,Temperate,Near Coastal
Harbor House,2019,39.135876,-123.719444,San Francisco,California,Unknown,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1,Very Expensive,4,6,2010,Northern,Americas,True,12,2,4185.502780946826,55,Temperate,Near Coastal
Shin Sushi,2019,34.15784,-118.49415,Los Angeles,California,91436,Japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1,Expensive,3,6,2010,Northern,Americas,True,10,2,3952.025490232295,24,Subtropical,Inland
Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,California,90401,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1,Expensive,3,6,2010,Northern,Americas,True,13,2,3957.7982216355417,24,Subtropical,Inland
Dialogue,2019,34.01679,-118.49748,Los Angeles,California,90401,Modern,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1,Very Expensive,4,6,2010,Northern,Americas,True,8,1,3958.699261476705,24,Subtropical,Inland
Kato,2019,34.041683,-118.460915,Los Angeles,California,90025,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1,Expensive,3,6,2010,Northern,Americas,True,4,1,3954.4925351747825,24,Subtropical,Inland
CUT,2019,34.067036,-118.401024,Los Angeles,California,90212,Steakhouse,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1,Very Expensive,4,6,2010,Northern,Americas,True,3,1,3948.3048674179317,24,Subtropical,Inland
Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1,Very Expensive,4,6,2010,Northern,Americas,True,10,2,3948.0344264469454,24,Subtropical,Inland
Shunji,2019,34.028496,-118.45195,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1,Very Expensive,4,6,2010,Northern,Americas,True,6,1,3954.3378130396973,24,Subtropical,Inland
